Food_ID,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
49,Mohanthal,"Rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,300,45,sweet,dessert,Gujarat,West
50,Sukhdi,"Whole wheat flour, gur, clarified butter",vegetarian,10,20,sweet,dessert,Maharashtra,West
51,Churma Ladoo,"Whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,12,40,sweet,dessert,Rajasthan,West
52,Bebinca,"Coconut milk, egg yolks, clarified butter, all purpose flour",vegetarian,20,60,sweet,dessert,Goa,West
53,Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,20,40,sweet,dessert,Gujarat,West
54,Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,West
55,Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,sweet,dessert,Gujarat,West
56,Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West
57,Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,10,60,sweet,dessert,Maharashtra,West
58,Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,Maharashtra,West
59,Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,Gujarat,West
60,Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,Gujarat,West
61,Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,10,30,sweet,dessert,Rajasthan,West
62,Boondi,"Gram flour, ghee, sugar",vegetarian,10,30,sweet,dessert,Rajasthan,West
63,Pinaca,"Brown rice, fennel seeds, grated coconut, black pepper, ginger powder",vegetarian,10,35,sweet,dessert,Goa,West
64,Bhakri,"Jowar flour, sesame seeds",vegetarian,20,25,sweet,main course,Maharashtra,West
65,badhirbeni,"Flour, sugar, ghee, cardamom",vegetarian,15,20,sweet,dessert,Gujarat,West
66,Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South
67,Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,300,35,sweet,dessert,Andhra Pradesh,South
68,Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South
69,Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South
70,Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South
71,Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South
72,Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South
73,Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,300,20,sweet,dessert,Karnataka,South
74,Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South
75,Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South
76,Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South
77,somas sweet,"milk, sugar, flour, ghee, nuts",vegetarian,30,15,sweet,dessert,Karnataka,South
78,Paal Payasam,"Rice, milk, sugar, cardamom, nuts",vegetarian,10,60,sweet,snack,Kerala,South
79,semiya payasam,"Rice, milk, sugar, cardamom, nuts,semiya",vegetarian,10,60,sweet,snack,Kerala,South
80,Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South
81,Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South
82,Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South
83,Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South
84,Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South
85,Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South
86,Bajri no rotlo,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,Rajasthan,South
87,Payasam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,sweet,main course,Tamil Nadu,South
88,Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South
89,Pitha,"Rice flour, jaggery, coconut, milk",vegetarian,30,20,sweet,dessert,Assam,North East
90,Lai Paak,"Coconut, sugar, ghee, cardamom",vegetarian,10,30,sweet,dessert,Manipur,North East
91,Pani Pitha,"Tea leaves, white sesame seeds, dry coconut, soaked rice",vegetarian,10,20,sweet,main course,Assam,North East
92,Khar,"Raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,10,20,sweet,main course,Assam,North East
93,Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",vegetarian,20,45,sweet,dessert,Madhya Pradesh,North East
94,Payokh,"Basmati rice, rose water, sugar, clarified butter, cardamom pods",vegetarian,30,60,sweet,dessert,Assam,North East
95,Til Pitha,"Glutinous rice, black sesame seeds, gur",vegetarian,300,30,sweet,dessert,Assam,North East
96,Hando Guri,"Jaggery, raisins",vegetarian,10,20,sweet,dessert,Assam,North East
97,Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East
98,Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East
99,Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East
100,Gheela Pitha,"Sticky rice, rice flour, jaggery, orange rind",vegetarian,10,30,sweet,dessert,Assam,North East
101,Bengali Mustard Fish Curry,"Fish, mustard paste, turmeric, green chilies",non vegetarian,15,20,tangy,main course,West Bengal,East
102,Goan Pork Vindaloo,"Pork, vinegar, garlic, spices",non vegetarian,20,60,tangy,main course,Goa,West
103,lemon poha,"Flattened rice poha, lemon juice, mustard seeds, curry leaves",vegetarian,10,15,tangy,snack,Maharashtra,West
104,Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,tangy,snack,Maharashtra,West
105,Keri no ras,"Mango, sugar",vegetarian,10,10,tangy,main course,Gujarat,West
106,Dhokla,"Gram flour, yogurt, mustard seeds, curry leaves",vegetarian,20,15,tangy,snack,Gujarat,West
107,Pani Puri,"Semolina puffs, spiced water, chickpeas, potatoes",vegetarian,30,2,tangy,snack,Maharashtra,West
108,Goan Fish Curry,"Fish, coconut milk, spices",non vegetarian,20,30,tangy,main course,Goa,West
109,Patra,"Taro leaves, chickpea flour, tamarind, jaggery",vegetarian,20,30,tangy,snack,Gujarat,West
110,Konkani Fish Curry,"Fish, coconut, tamarind, spices",non vegetarian,20,30,tangy,main course,Goa,West
111,Khandvi,"Chickpea flour, yogurt, mustard seeds, curry leaves",vegetarian,15,20,tangy,snack,Gujarat,West
112,Khaman,"Gram flour, yogurt, mustard seeds, curry leaves",vegetarian,20,20,tangy,snack,Gujarat,West
113,dahi puri,"Puris crisp hollow shells, yogurt, tamarind chutney, spices, chopped vegetarianetables",vegetarian,20,10,tangy,snack,Maharashtra,West
114,meen kuzhambu,"Fish, tamarind, coconut, spices",non vegetarian,15,25,tangy,main course,Tamil Nadu,South
115,curd rice,"Rice, yogurt, tempering mustard seeds, curry leaves, spices",vegetarian,10,5,tangy,main course,Tamil Nadu,South
116,morkuzhamboo,"Buttermilk, coconut, spices, vegetarianetables",vegetarian,15,20,tangy,main course,Tamil Nadu,South
117,kara kuzhamboo,"Okra ladyfinger, tamarind, spices, coconut",vegetarian,15,25,tangy,main course,Tamil Nadu,South
118,brinjal kosthu,"Brinjal eggplant, tamarind, spices, coconut",vegetarian,20,30,tangy,main course,Tamil Nadu,South
119,Tomato chutney,"Tomatoes, onions, spices, tamarind",vegetarian,10,15,tangy,main course,Tamil Nadu,South
120,lemon rice,"Rice, lemon juice, mustard seeds, curry leaves",vegetarian,10,20,tangy,main course,Tamil Nadu,South
121,coconut rice,"Rice, grated coconut, mustard seeds, curry leaves",vegetarian,10,20,tangy,main course,Kerala,South
122,Chicken 65,"Chicken, yogurt, spices, curry leaves",non vegetarian,40,20,tangy,snack,Tamil Nadu,South
123,crispy vegetarianetable snack,"vegetarianetables,oil,salt",vegetarian,10,5,tangy,snack,Tamil Nadu,South
124,dahi curry,"dahi, spices, vegetarianetables",vegetarian,15,45,tangy,snack,Kerala,South
125,Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,tangy,snack,Kerala,South
126,Chicken Stew,"Chicken, coconut milk, potatoes, carrots, spices",non vegetarian,20,30,tangy,soup,Kerala,South
127,Rasam,"Tamarind, tomatoes, spices, curry leaves",vegetarian,10,20,tangy,soup,Tamil Nadu,South
128,Khar,"Banana peels, water, alkali",vegetarian,10,30,tangy,snack,Assam,North East
129,Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North
130,Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North
131,Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,15,30,bitter,main course,Gujarat,West
132,Muthiya,"Bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,bitter,snack,Gujarat,West
133,noodles,"Noodles wheat or rice, vegetarianetables, sauces",vegetarian,10,10,savory,main course,Assam,East
134,chicken noodles,"Noodles wheat or rice, chicken, vegetarianetables, sauces",non vegetarian,15,15,savory,main course,Assam,East
135,Kolkata Chicken Rezala,"Chicken, yogurt, cashew paste, spices",non vegetarian,25,35,savory,main course,West Bengal,East
136,Gajar Matar ki savoryzi,"Carrots, peas, spices, oil",vegetarian,15,20,savory,main course,Punjab,North
137,Kachori,"Flour,lentils,spices,oil",vegetarian,30,20,savory,snack,Uttar Pradesh,North
138,Khandvi,"Chickpea flour, yogurt, mustard seeds, curry leaves",vegetarian,15,20,savory,snack,Gujarat,West
139,vegetarianetable fried rice,"Rice, mixed vegetarianetables, soy sauce, spices",vegetarian,15,15,savory,main course,Maharashtra,West
140,chicken fried rice,"Rice, chicken, mixed vegetarianetables, soy sauce, spices",non vegetarian,20,15,savory,main course,Maharashtra,West
141,egg fried rice,"Rice, eggs, mixed vegetarianetables, soy sauce, spices",non vegetarian,15,15,savory,main course,Maharashtra,West
142,Masala Dosa,"Rice batter, potatoes, onions, spices",vegetarian,15,20,savory,breakfast,Karnataka,South
143,Dosa,Rice and lentil batter,vegetarian,12,5,savory,breakfast,Tamil Nadu,South
144,Pesarattu,"Green gram, rice, ginger, green chilies",vegetarian,480,20,savory,breakfast,Andhra Pradesh,South
145,Bajji,"Gram flour, onion",vegetarian,10,3,savory,snack,Tamil Nadu,South
146,Bonda,"Gram flour, potatoes, spices",vegetarian,15,3,savory,snack,Tamil Nadu,South
147,Spring Roll,"vegetarianetables such as cabbage, carrots, bell peppers, noodles, spices, spring ",vegetarian,30,10,savory,snack,Tamil Nadu,South
148,cutlet,"Potatoes, vegetarianetables such as peas, carrots, breadcrumbs, spices",vegetarian,10,3,savory,snack,Tamil Nadu,South
149,corn tikka,"Corn kernels, spices, yogurt",vegetarian,30,10,savory,snack,Tamil Nadu,South
150,sandwich,"Bread slices, vegetarianetables such as tomatoes, cucumbers, onions, spreads such as butter, mayonnaise, cheese optional",vegetarian,10,5,savory,snack,Tamil Nadu,South
151,samosa kheema,"Flour dough, potatoes, peas, spices, mutton",non vegetarian,30,30,savory,snack,Tamil Nadu,South
152,sweet appam,"Rice flour, jaggery or sugar, coconut, cardamom",vegetarian,20,20,savory,snack,Tamil Nadu,South
153,masala vadai,"Black gram dal urad dal, spices, onions, curry leaves",vegetarian,20,20,savory,snack,Tamil Nadu,South
154,potato tikka,"Potatoes, spices, yogurt, bell peppers optional",vegetarian,25,20,savory,snack,Tamil Nadu,South
155,murukku,"Rice flour, urad dal flour, spices",vegetarian,30,30,savory,snack,Tamil Nadu,South
156,karasev,"Gram flour, rice flour, spices",vegetarian,15,30,savory,snack,Tamil Nadu,South
157,gajra,"Gram flour, sugar syrup",vegetarian,20,40,savory,snack,Tamil Nadu,South
158,potato chips,"Potatoes, oil, salt",vegetarian,15,20,savory,snack,Tamil Nadu,South
159,mixture,"Various snacks such as sev, peanuts, fried lentils, spices",vegetarian,25,40,savory,snack,Tamil Nadu,South
160,poha,"Flattened rice poha, onions, peanuts, spices",vegetarian,10,30,savory,snack,Tamil Nadu,South
161,aval payasam,"Flattened rice aval, milk, sugar, cardamom, nuts",vegetarian,10,30,savory,snack,Tamil Nadu,South
162,rice payasam,"Jowar, sorgh, milk, sugar, cardamom, nuts",vegetarian,10,40,savory,snack,Tamil Nadu,South
163,jouarisi payasam,"Rice, milk, sugar, cardamom, nuts",vegetarian,10,40,savory,snack,Tamil Nadu,South
164,vegetarianetable koftha curry,"Mixed vegetarianetables, gram flour, spices, tomato-based gravy",vegetarian,25,30,savory,main course,West Bengal,North
165,Poriyal,Mixed vegetarianetables,vegetarian,10,15,savory,snack,Tamil Nadu,South
166,idiyappam,"Rice flour, water, salt",vegetarian,20,15,savory,breakfast,Tamil Nadu,South
167,paneer 65,"Paneer,oil,spices",vegetarian,10,5,savory,snack,Karnataka,South
168,cheese cutlet,"Potatoes, cheese, breadcrumbs, spices",vegetarian,25,20,savory,snack,Kerala,South
169,Paniyaram TN,"Fermented rice and lentil batter, vegetarianetables, spices",vegetarian,15,20,savory,snack,Tamil Nadu,South
170,Egg dosa,"Dosa batter, eggs, spices, onions",non vegetarian,10,15,savory,main course,Tamil Nadu,South
171,Aval Upma,"Flattened rice aval, vegetarianetables, spices, mustard seeds",vegetarian,10,10,savory,main course,Tamil Nadu,South
172,Assamese Duck Curry,"Duck, potatoes, mustard oil, spices",non vegetarian,20,30,savory,main course,Assam,North East
173,Bihari Litti Chokha,"Roasted gram flour, sattu, eggplant, tomatoes",non vegetarian,30,40,spicy,main course,Bihar,East
174,Kolkata Mutton Biriyani,"Mutton, basmati rice, potatoes, spices",non vegetarian,40,60,spicy,main course,West Bengal,East
175,Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East
176,Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,Uttar Pradesh,East
177,Baingan Bhaja,"Eggplant, spices, gram flour",vegetarian,15,20,spicy,snack,West Bengal,East
178,Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East
179,Chingri malai curry,"Coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,10,40,spicy,main course,West Bengal,East
180,Chingri Bhape,"Coconut, prawns, curd, mustard seed, green chili",non vegetarian,15,30,spicy,main course,West Bengal,East
181,Kabiraji,"Fish fillet, besan, lemon, mint, ginger",non vegetarian,30,60,spicy,main course,West Bengal,East
182,Prawn malai curry,"Coconut milk, prawns, garlic, turmeric, sugar",non vegetarian,15,50,spicy,main course,West Bengal,East
183,Red Rice,"Red pepper, red onion, butter, watercress, olive oil",vegetarian,10,30,spicy,main course,West Bengal,East
184,Shukto,"Green beans, bitter gourd, ridge gourd, banana, brinjal",vegetarian,10,20,spicy,main course,West Bengal,East
185,Litti Chokha,"Wheat flour, gram flour, sattu, eggplant, potatoes, tomatoes",vegetarian,30,40,spicy,main course,Bihar,East
186,Luchi,"Maida, vegetarianetable oil",vegetarian,20,30,spicy,main course,West Bengal,East
187,Paneer Manchurian,"Paneer, bell peppers, onions, garlic, soy sauce, spices",vegetarian,20,20,spicy,snack,Punjab,North
188,paneer gravy,"spices, paneer",vegetarian,10,30,spicy,main course,Kolkata,North
189,stuffed gobi ,"Cauliflower, spices, potatoes",vegetarian,20,30,spicy,main course,Uttar Pradesh,North
190,Rajasthani Laal Maans,"Lamb, yogurt, red chili powder, spices",non vegetarian,20,40,spicy,main course,Rajasthan,North
191,Rajasthani Jungli Maas,"Lamb, yogurt, red chili powder, spices",non vegetarian,20,60,spicy,main course,Rajasthan,North
192,Kashmiri Rogan Josh,"Lamb, yogurt, Kashmiri chili powder, spices",non vegetarian,20,60,spicy,main course,Jammu & Kashmir,North
193,Punjabi Chicken Saag,"Chicken, spinach, fenugreek leaves, spices",non vegetarian,25,35,sweet,main course,Punjab,North
194,Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North
195,Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,300,20,spicy,main course,Punjab,North
196,Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,300,40,spicy,main course,Punjab,North
197,Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North
198,Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North
199,Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North
200,Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,Delhi,North
201,Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North
202,Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken brEasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North
203,Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North
204,Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North
205,Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,Punjab,North
206,Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North
207,Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North
208,Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North
209,Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North
210,Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,300,5,spicy,snack,Delhi,North
211,Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North
212,Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North
213,Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,Punjab,North
214,Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,spicy,main course,Punjab,North
215,Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North
216,Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North
217,vegetarianetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North
218,Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,240,30,spicy,main course,Punjab,North
219,Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,snack,Punjab,North
220,Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North
221,Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North
222,Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North
223,Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North
224,Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North
225,Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North
226,Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,maharashtra,North
227,Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North
228,Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,Punjab,North
229,Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,Punjab,North
230,Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North
231,Rogan Josh,"Lamb, yogurt, Kashmiri spices",non vegetarian,20,60,spicy,main course,Jammu & Kashmir,North
232,Chole Bhature,"Chickpeas, flour, spices, baking soda",vegetarian,45,30,spicy,main course,Punjab,North
233,Baingan Bharta,"Eggplant, tomatoes, onions, spices",vegetarian,15,30,spicy,main course,Punjab,North
234,Arbi Ki savoryji,"Taro root, spices, mustard oil",vegetarian,20,30,spicy,main course,Uttar Pradesh,North
235,Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,spicy,main course,Madhya Pradesh,North
236,Kachori,"Flour, lentils, spices, oil",vegetarian,30,20,spicy,snack,Uttar Pradesh,North
237,Samosa,"Flour, potatoes, peas, spices",vegetarian,45,20,spicy,snack,Uttar Pradesh,North
238,Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North
239,Paneer Bhurji,"Paneer, onions, tomatoes, spices",vegetarian,15,15,spicy,main course,Maharashtra,West 
